0,1,2,high_level_substr
2.229779,-8.362581,-2.28538,plant polysaccharide
-0.21016788,4.5404215,0.09871151,plant polysaccharide
3.591772,14.352076,0.8910394,plant polysaccharide
2.7216747,13.529025,0.2868169,alpha-glucan
4.0787897,15.945773,0.77455926,host glycan
5.148118,13.666721,1.3795757,mono/di/trisaccharide
3.109029,14.743015,0.76414937,host glycan
-2.6962488,4.2280087,1.9918374,multiple_substrates
4.6863003,-1.1331158,-3.174492,multiple_substrates
3.6321316,14.559064,1.0406597,plant polysaccharide
0.24113767,-8.395564,2.8927093,exopolysaccharide
4.2343597,-5.1606827,6.8815036,multiple_substrates
8.615123,-6.334302,6.927661,multiple_substrates
3.236285,-10.030766,4.7414618,O-antigen
9.518415,-6.713909,9.798446,O-antigen
6.0687838,-6.4995112,10.355643,O-antigen
2.2142165,-2.6957257,2.598641,-
3.4361775,-3.8326871,-2.9457843,mono/di/trisaccharide
-0.47229427,-4.1379075,-5.2301135,beta-mannan
2.1839018,8.028158,-3.5261376,beta-mannan
-3.146778,-0.55238724,0.58209693,multiple_substrates
3.543806,-4.444842,-4.440854,multiple_substrates
0.97383714,10.09541,-3.291785,multiple_substrates
4.069446,-3.4322572,-2.813076,multiple_substrates
4.3127775,-3.4667623,-2.5480049,multiple_substrates
-0.06406608,-8.286137,1.2541517,multiple_substrates
1.2667433,14.863183,-0.54166275,multiple_substrates
-6.600371,-7.2771716,-5.3623686,algal glycans
3.3206925,-5.9979024,8.010066,O-antigen
7.6836925,-4.893678,8.818195,O-antigen
3.247155,-10.023923,4.740937,O-antigen
8.989322,-6.8598166,8.047055,O-antigen
5.8937,-9.270719,7.1520033,O-antigen
3.701628,-1.7803235,11.574609,O-antigen
5.9697657,-2.7801232,10.189398,O-antigen
3.7016015,-1.7803912,11.574533,O-antigen
2.5710237,-3.418405,0.5130936,-
-3.4364429,-9.694378,-7.970027,mono/di/trisaccharide
0.4015612,8.562613,-2.2431946,xylan
-3.6954696,3.8364196,-7.5022006,xylan
-2.5543597,2.4592702,-0.5363391,algal glycans
-3.6257377,0.60094124,-2.5869012,algal glycans
